perf_counter_ns,unix_s,phase,board_input_power_w,board_input_current_a,board_input_voltage_v,read_duration_ns
1680018069910,1788984840.6109421,setup,14.675,1.227,11.962,1758080
1680018181300,1788984840.61105,baseline_boundary_before,14.675,1.227,11.962,1905680
1680118182110,1788984840.7110507,baseline,14.437,1.206,11.965,1386040
1680218173090,1788984840.8110418,baseline,14.45,1.207,11.965,1375520
1680318172450,1788984840.911041,baseline,14.437,1.206,11.965,1375060
1680418171540,1788984841.01104,baseline,14.425,1.205,11.965,1384660
1680518171510,1788984841.1110404,baseline,14.437,1.206,11.966,1382590
1680618170000,1788984841.2110388,baseline,14.425,1.205,11.966,1375920
1680718173170,1788984841.3110423,baseline,14.437,1.206,11.966,1404490
1680818176760,1788984841.4110456,baseline,14.425,1.206,11.965,1381650
1680918174390,1788984841.511043,baseline,14.45,1.207,11.965,1389820
1681018172770,1788984841.6110413,baseline,14.437,1.206,11.965,1377500
1681118170540,1788984841.7110393,baseline,14.425,1.205,11.965,1378070
1681218172320,1788984841.8110409,baseline,14.425,1.205,11.966,1376650
1681318170440,1788984841.9110389,baseline,14.425,1.205,11.965,1377920
1681418171650,1788984842.0110402,baseline,14.425,1.205,11.965,1377150
1681518172030,1788984842.1110406,baseline,14.425,1.205,11.965,1380600
1681618171230,1788984842.2110398,baseline,14.412,1.205,11.965,1376700
1681718169620,1788984842.3110383,baseline,14.412,1.204,11.966,1404250
1681818172050,1788984842.4110405,baseline,14.412,1.205,11.965,1370180
1681918169930,1788984842.5110385,baseline,14.425,1.205,11.966,1375830
1682018171000,1788984842.6110396,baseline,14.425,1.205,11.966,1378940
1682118170170,1788984842.7110388,baseline,14.412,1.204,11.965,1377350
1682218171440,1788984842.81104,baseline,14.4,1.204,11.966,1371210
1682318169620,1788984842.9110382,baseline,14.412,1.204,11.966,1377500
1682418171890,1788984843.0110404,baseline,14.412,1.204,11.966,1376490
1682518172050,1788984843.1110406,baseline,14.425,1.205,11.965,1376180
1682618171240,1788984843.2110398,baseline,14.412,1.204,11.966,1376810
1682718171600,1788984843.3110404,baseline,14.437,1.207,11.965,1381490
1682818174750,1788984843.4110434,baseline,14.425,1.206,11.965,1384300
1682918177470,1788984843.5110464,baseline,14.537,1.215,11.963,1398530
1683018174910,1788984843.6110437,baseline,14.437,1.206,11.965,1391260
1683118172030,1788984843.7110405,baseline,14.412,1.205,11.965,1378490
1683218169800,1788984843.8110385,baseline,14.412,1.205,11.965,1374010
1683318169290,1788984843.911038,baseline,14.412,1.205,11.965,1370760
1683418171550,1788984844.01104,baseline,14.425,1.205,11.966,1376170
1683518171040,1788984844.1110396,baseline,14.425,1.205,11.965,1381430
