local_index,mnist_test_index,label,prediction,correct,logit_0,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,logit_8,logit_9
0,372,0,0,1,12.502875328063965,-8.195218086242676,-0.1973147988319397,-4.4223480224609375,-6.772706508636475,-0.39994585514068604,-0.6557783484458923,-3.144284725189209,-4.846035480499268,1.2161678075790405
1,4719,1,1,1,-1.7587862014770508,8.24647331237793,-1.5167640447616577,-4.203172206878662,-0.20363375544548035,-3.8130509853363037,-2.891282796859741,1.2126728296279907,-1.7846380472183228,-1.3765455484390259
2,306,2,2,1,-4.00200080871582,3.969453811645508,14.617179870605469,1.1126798391342163,-7.388734340667725,-11.074549674987793,-9.681269645690918,3.865058183670044,-1.5687505006790161,-8.902225494384766
3,7024,3,3,1,-11.725502967834473,-5.996921539306641,-5.038064002990723,16.308691024780273,-10.937068939208984,-2.461779832839966,-16.31570053100586,-4.892383098602295,0.5906403064727783,1.5141222476959229
4,6175,4,4,1,-5.772133827209473,0.8502512574195862,-4.724728584289551,-9.6912202835083,19.121910095214844,-7.317244529724121,2.1383602619171143,-0.19384075701236725,-7.491883277893066,0.11637904495000839
5,3558,5,0,0,6.508453369140625,-8.77643871307373,-3.7503368854522705,-0.5133783221244812,-5.789680004119873,3.146200656890869,0.41775837540626526,-5.529860019683838,-3.298917293548584,-3.835012435913086
6,5034,6,6,1,0.6049022674560547,-4.816382884979248,-3.148876667022705,-7.14100980758667,-2.8465864658355713,1.2365976572036743,15.162264823913574,-10.02715015411377,1.1037534475326538,-4.2627739906311035
7,579,7,7,1,-2.692192316055298,-2.799376964569092,-2.6636962890625,-2.883579969406128,-6.569558620452881,-0.18243205547332764,-12.243437767028809,10.494746208190918,-1.461216688156128,1.6713731288909912
8,9695,8,8,1,-8.555256843566895,-4.262461185455322,-0.6289881467819214,4.3494181632995605,-5.397213935852051,-3.3273658752441406,-8.441596031188965,-2.908479928970337,8.160372734069824,-3.342682361602783
9,7884,9,9,1,-4.791888236999512,-7.864367485046387,-7.060732841491699,-0.9989085793495178,1.4126031398773193,-4.118337154388428,-12.115996360778809,-0.14466018974781036,-1.216410517692566,15.350546836853027
10,4891,0,0,1,13.429327964782715,-5.3389763832092285,0.8600241541862488,-4.6547770500183105,-2.331812858581543,-6.4610915184021,0.45055773854255676,-3.4491493701934814,-5.410159111022949,3.978602647781372
11,2015,1,1,1,-6.722352027893066,12.778790473937988,-3.5637383460998535,-7.797547817230225,1.16162109375,-4.296869277954102,-3.5515434741973877,-0.8951531648635864,0.011021096259355545,-2.620357036590576
12,1407,2,2,1,-6.229189395904541,-1.1579316854476929,18.501060485839844,1.220575213432312,-6.377613544464111,-10.845691680908203,-6.397802352905273,2.879725217819214,-1.0471148490905762,-10.058863639831543
